Depth (m),Density (g/cm^3),Velocity (m/s),Por,Clay,Overburden pressure (Mpa),Hydrostatic pressure (Mpa)
1480,2.339999914,2703.343926,0.05846483,0.8043925,33.26774384,14.25288704
1480.1,2.342999935,2703.338299,0.04354765,0.8956325,33.27004154,14.25387752
1480.2,2.361999989,2704.59138,0.03605978,0.9153224,33.27235787,14.25486799
1480.3,2.378000021,2704.830562,0.04766858,0.8548829,33.27468989,14.25585846
1480.4,2.378000021,2703.681183,0.05322029,0.8418675,33.27702192,14.25684893
1480.5,2.378000021,2700.918002,0.03864333,0.9085757,33.27935394,14.2578394
1480.6,2.378000021,2697.180583,0.04234096,0.8764344,33.28168596,14.25882987
1480.7,2.378999949,2694.389076,0.04810151,0.8330278,33.28401896,14.25982035
1480.8,2.372999907,2693.562268,0.04397001,0.8357105,33.28634608,14.26081082
1480.9,2.362999916,2697.649572,0.04787128,0.7965524,33.28866339,14.26180129
1481,2.345000029,2704.940938,0.05543631,0.7805372,33.29096305,14.26279176
1481.1,2.351000071,2716.341356,0.03267202,0.9224508,33.29326859,14.26378223
1481.2,2.377000093,2729.814128,0.03031959,0.876774,33.29559963,14.2647727
1481.3,2.388000011,2742.67068,0.0388632,0.7990844,33.29794146,14.26576317
1481.4,2.377000093,2752.605869,0.03943658,0.8093775,33.3002725,14.26675365
1481.5,2.372999907,2755.799891,0.03926856,0.8220639,33.30259962,14.26774412
1481.6,2.392999887,2753.826923,0.031052,0.8771855,33.30494635,14.26873459
1481.7,2.375999928,2744.154796,0.04659404,0.8143551,33.30727641,14.26972506
1481.8,2.375999928,2729.512293,0.04721662,0.8143706,33.30960647,14.27071553
1481.9,2.385999918,2712.686682,0.03301465,0.9024945,33.31194634,14.271706
1482,2.38499999,2694.902994,0.04200928,0.8650754,33.31428522,14.27269648
1482.1,2.394000053,2679.183378,0.0522879,0.8027827,33.31663294,14.27368695
1482.2,2.40199995,2665.618282,0.05425214,0.7811487,33.31898849,14.27467742
1482.3,2.395999908,2656.312922,0.06416328,0.7411255,33.32133817,14.27566789
1482.4,2.395999908,2650.377996,0.06476747,0.7410481,33.32368784,14.27665836
1482.5,2.388999939,2647.338333,0.05980463,0.7807133,33.32603065,14.27764883
1482.6,2.375,2648.923188,0.05791268,0.806937,33.32835973,14.27863931
1482.7,2.364000082,2653.346519,0.07657771,0.7347004,33.33067802,14.27962978
1482.8,2.35800004,2660.234363,0.08918399,0.689367,33.33299043,14.28062025
1482.9,2.351999998,2670.087692,0.08354561,0.7146595,33.33529695,14.28161072
1483,2.351000071,2680.167981,0.0748051,0.7738184,33.3376025,14.28260119
1483.1,2.369999886,2689.946978,0.04977934,0.8563627,33.33992667,14.28359166
1483.2,2.374000072,2696.099409,0.03870611,0.8953121,33.34225477,14.28458214
1483.3,2.338000059,2698.820168,0.06411564,0.8401991,33.34454757,14.28557261
1483.4,2.321000099,2697.374376,0.07743495,0.8154014,33.34682369,14.28656308
1483.5,2.318000078,2688.969459,0.08297747,0.7673045,33.34909687,14.28755355
1483.6,2.321000099,2678.038127,0.08079567,0.7171153,33.35137299,14.28854402
1483.7,2.354000092,2664.678526,0.06420068,0.7674398,33.35368148,14.28953449
1483.8,2.367000103,2651.408018,0.05570538,0.8322334,33.35600271,14.29052497
1483.9,2.355999947,2639.799267,0.05092477,0.8522143,33.35831316,14.29151544
1484,2.364000082,2630.784887,0.05629723,0.8064488,33.36063145,14.29250591
1484.1,2.362999916,2625.511738,0.06166856,0.7842224,33.36294876,14.29349638
1484.2,2.354000092,2621.719631,0.06236115,0.7841205,33.36525725,14.29448685
1484.3,2.372999907,2619.260737,0.05797924,0.7911196,33.36758437,14.29547732
1484.4,2.377000093,2616.448762,0.0642924,0.7582474,33.36991541,14.2964678
1484.5,2.372999907,2613.349798,0.06450369,0.7581851,33.37224253,14.29745827
1484.6,2.361000061,2610.153067,0.06285492,0.7990258,33.37455788,14.29844874
1484.7,2.361999989,2609.25806,0.05455931,0.8667945,33.37687421,14.29943921
1484.8,2.369999886,2611.483983,0.05325741,0.8545062,33.37919838,14.30042968
1484.9,2.381000042,2620.200937,0.05390573,0.8214383,33.38153335,14.30142015
