DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4085,2.404,62.71937087,0.1405,7.1054,0.0405,0.1327,0.6844,0.0425,0,0.1348,0.0057,107.8344
4085.1,2.464023269,62.53943477,0.118203773,2.185705778,0.049129695,0.08568307,0.771767729,0.024445428,0,0.11237472,0.005829053,107.4662269
4085.2,2.524344086,62.44262151,0.104098327,1.170399761,0.057138829,0.054362843,0.820133453,0.021505376,0,0.098202867,0.00589546,107.2387212
4085.3,2.532434368,62.41656608,0.073089181,0.19229992,0.15966078,0.134147414,0.660446539,0.132402387,0,0.061838345,0.011265314,107.1010386
4085.4,2.53528,62.5188664,0.068258,0.147664,0.682082,0.08945,0.782648,0.059644,0,0.021732,0.046626,107.03881
4085.5,2.5363,62.63098977,0.068224,0.147434,0.69694,0.07293,0.828342,0.030504,0,0.0207,0.04761,106.9970061
4085.6,2.53046,62.73463929,0.070972,0.174058,0.699244,0.05935,0.859272,0.010406,0,0.021344,0.049642,106.9758379
4085.7,2.5224,62.72772104,0.080184,0.28156,0.677332,0.0307,0.889116,0,0,0.025916,0.054354,106.9613339
4085.8,2.5317,62.63119685,0.084314,0.350682,0.656842,0.026218,0.889454,0,0,0.028958,0.05537,106.9349535
4085.9,2.53614,62.40410649,0.078938,0.264686,0.706328,0.02692,0.894056,0,0,0.02328,0.05573,106.8928454
4086,2.53896,61.94998791,0.071114,0.172818,0.779666,0.040018,0.888868,0,0,0.015672,0.055356,106.8393218
4086.1,2.551562452,61.42560953,0.065775095,0.130564634,0.844275598,0.05524502,0.872103905,0.006875979,0,0.01034226,0.055432835,106.7715144
4086.2,2.552967497,60.82707338,0.059785591,0.094423187,0.904058502,0.074601408,0.817932503,0.047680498,0,0.005811376,0.053974215,106.6790935
4086.3,2.53755,60.1581126,0.068195,0.163675,0.82114,0.05785,0.839515,0.034425,0,0.012685,0.05551,106.5395119
4086.4,2.51515,59.56526838,0.08651,0.393045,0.674725,0.019645,0.89376,0,0,0.02811,0.0584,106.3464835
4086.5,2.50035,59.1184226,0.0877,0.4188,0.644125,0.02035,0.89195,0,0,0.031205,0.056495,106.0497436
4086.6,2.5107,58.74339446,0.08764,0.417465,0.51665,0.023185,0.88916,0,0,0.042375,0.045265,105.554756
4086.7,2.52868844,58.43558643,0.086179817,0.389632152,0.493033247,0.027159853,0.886575266,0,0,0.043708404,0.042471413,104.9116639
4086.8,2.547476981,58.23763874,0.078641006,0.260350025,0.508121915,0.042671701,0.878687292,0,0,0.038663965,0.039977041,104.0574407
4086.9,2.567578186,58.14438279,0.070759526,0.170374631,0.511655328,0.056798162,0.871261233,0.001167018,0,0.03458607,0.036187516,103.0352252
4087,2.562832465,58.11427929,0.064327749,0.119637593,0.552046175,0.066940527,0.861444392,0.007201782,0,0.028869948,0.035557801,101.9451905
4087.1,2.551163924,58.1623119,0.063943647,0.117176432,0.567994406,0.057703489,0.8771,0.001238315,0,0.027678078,0.036351021,100.8852506
