DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
1261.0,2.203999996,119.1232962,0.1558981,11.70508003,1.0,0.705065012,0.139036998,0.0,0.0,0.0,0.1558981
1261.1,2.226000071,119.1934899,0.1204737,1.648710966,1.0,0.8051389,0.07438733,0.0,0.0,0.0,0.1204737
1261.2,2.263000011,118.9695491,0.09588982,0.42306301,1.0,0.8324621,0.07164811,0.0,0.0,0.0,0.09588982
1261.3,2.303999901,118.2876399,0.08325966,0.210334003,1.0,0.7627198,0.1540205,0.0,0.0,0.0,0.08325966
1261.4,2.312000036,117.2078342,0.09272874,0.355177999,1.0,0.7305596,0.1767117,0.0,0.0,0.0,0.09272874
1261.5,2.322999954,115.9358103,0.09605385,0.426919997,1.0,0.7742696,0.1296766,0.0,0.0,0.0,0.09605385
1261.6,2.345999956,114.5959789,0.08160889,0.191973001,1.0,0.8943049,0.02408624,0.0,0.0,0.0,0.08160889
1261.7,2.367000103,113.3751352,0.07929429,0.168897003,1.0,0.8716045,0.048842,0.000259199,0.0,0.0,0.07929429
1261.8,2.325999975,112.3715515,0.09814576,0.479306996,1.0,0.780214,0.1082071,0.01343311,0.0,0.0,0.09814576
1261.9,2.308000088,111.7489661,0.09130246,0.328226,1.0,0.7594724,0.1492252,0.0,0.0,0.0,0.09130246
1262.0,2.298000097,111.5080426,0.092893,0.358420014,1.0,0.7174981,0.1896089,0.0,0.0,0.0,0.092893
1262.1,2.288000107,111.5783215,0.09713605,0.453263998,1.0,0.7059374,0.1969266,0.0,0.0,0.0,0.09713605
1262.2,2.290999889,111.9792445,0.1138315,1.141654968,1.0,0.6616102,0.2245583,0.0,0.0,0.0,0.1138315
1262.3,2.299999952,112.58927,0.1009985,0.561259985,0.9975976,0.7377692,0.1612323,0.0,0.0,0.000243,0.1007558
1262.4,2.292000055,113.3139582,0.07514621,0.134259999,1.0,0.8333116,0.09154226,0.0,0.0,0.0,0.07514621
1262.5,2.296999931,114.0730444,0.07919275,0.167951003,0.998032,0.8078349,0.1012804,0.01169194,0.0,0.000156,0.0790369
1262.6,2.305000067,114.7735376,0.08844663,0.28025201,1.0,0.8445776,0.06697579,0.0,0.0,0.0,0.08844663
1262.7,2.296000004,115.3455474,0.09824924,0.482059985,1.0,0.7690969,0.1326539,0.0,0.0,0.0,0.09824924
1262.8,2.269999981,115.7032396,0.0906859,0.317218006,1.0,0.7935576,0.1157565,0.0,0.0,0.0,0.0906859
1262.9,2.26699996,115.8586466,0.08959235,0.298593014,1.0,0.8063287,0.104079,0.0,0.0,0.0,0.08959235
1263.0,2.263000011,115.7988011,0.09962934,0.520312011,1.0,0.778168,0.1222027,0.0,0.0,0.0,0.09962934
1263.1,2.279999971,115.5269242,0.09758649,0.464702994,1.0,0.7414107,0.1610028,0.0,0.0,0.0,0.09758649
1263.2,2.288000107,115.1353266,0.08921021,0.292346001,1.0,0.7558454,0.1549444,0.0,0.0,0.0,0.08921021
1263.3,2.301000118,114.6727032,0.07212051,0.113564,1.0,0.8079756,0.1199038,0.0,0.0,0.0,0.07212051
1263.4,2.311000109,114.2160735,0.05806402,0.052175999,1.0,0.8324066,0.1095294,0.0,0.0,0.0,0.05806402
1263.5,2.326999903,113.8262081,0.05406488,0.041818999,1.0,0.853676,0.09225917,0.0,0.0,0.0,0.05406488
1263.6,2.355000019,113.5778131,0.0561987,0.047059,1.0,0.8423918,0.1014095,0.0,0.0,0.0,0.0561987
1263.7,2.361000061,113.5159867,0.06718618,0.086430997,1.0,0.8011418,0.131672,0.0,0.0,0.0,0.06718618
1263.8,2.351999998,113.5932284,0.08571363,0.240922004,1.0,0.7830946,0.1311917,0.0,0.0,0.0,0.08571363
1263.9,2.328000069,113.8164432,0.1075646,0.807129979,1.0,0.7498459,0.1425895,0.0,0.0,0.0,0.1075646
1264.0,2.325999975,114.1237473,0.1086378,0.85650897,1.0,0.7496542,0.141708,0.0,0.0,0.0,0.1086378
1264.1,2.312000036,114.4300514,0.09971159,0.522684991,1.0,0.7446427,0.1556457,0.0,0.0,0.0,0.09971159
1264.2,2.295000076,114.6550665,0.079224,0.168241993,1.0,0.7881906,0.1325854,0.0,0.0,0.0,0.079224
1264.3,2.299999952,114.7488707,0.07491624,0.132561997,1.0,0.8234849,0.1015989,0.0,0.0,0.0,0.07491624
1264.4,2.303999901,114.7382695,0.08337981,0.211735994,1.0,0.8244535,0.0921667,0.0,0.0,0.0,0.08337981
1264.5,2.305999994,114.6189088,0.08524971,0.234816,1.0,0.831956,0.08279429,0.0,0.0,0.0,0.08524971
1264.6,2.325999975,114.4504664,0.08469013,0.227658004,1.0,0.7640496,0.1512602,0.0,0.0,0.0,0.08469013
1264.7,2.329999924,114.2983253,0.07841484,0.160874993,1.0,0.7503675,0.1712177,0.0,0.0,0.0,0.07841484
1264.8,2.323999882,114.2052813,0.07070369,0.105001003,1.0,0.7751852,0.1541111,0.0,0.0,0.0,0.07070369
1264.9,2.319000006,114.169907,0.0879833,0.273158997,1.0,0.7593619,0.1526548,0.0,0.0,0.0,0.0879833
1265.0,2.312000036,114.1499555,0.1022587,0.601790011,1.0,0.7129887,0.1847526,0.0,0.0,0.0,0.1022587
1265.1,2.282999992,114.0719855,0.09908101,0.504763007,1.0,0.7677641,0.1331549,0.0,0.0,0.0,0.09908101
1265.2,2.279999971,113.8754728,0.1033535,0.639371991,1.0,0.7909586,0.1056879,0.0,0.0,0.0,0.1033535
1265.3,2.305999994,113.5389313,0.1021866,0.599394977,1.0,0.7729607,0.1248527,0.0,0.0,0.0,0.1021866
1265.4,2.316999912,113.039899,0.08776975,0.269950002,1.0,0.7680709,0.1441594,0.0,0.0,0.0,0.08776975
1265.5,2.321000099,112.4530938,0.08203399,0.196541995,1.0,0.7900966,0.1278694,0.0,0.0,0.0,0.08203399
1265.6,2.305000067,111.8723476,0.08876536,0.285237998,1.0,0.7560111,0.1552236,0.0,0.0,0.0,0.08876536
1265.7,2.305000067,111.4304033,0.08258497,0.202626005,1.0,0.742157,0.175258,0.0,0.0,0.0,0.08258497
1265.8,2.311000109,111.2034935,0.084061,0.219869003,1.0,0.738649,0.17729,0.0,0.0,0.0,0.084061
1265.9,2.315000057,111.2467911,0.08702624,0.259070009,1.0,0.7638051,0.1491687,0.0,0.0,0.0,0.08702624
1266.0,2.345999956,111.6078511,0.07041565,0.103340998,1.0,0.7839733,0.145611,0.0,0.0,0.0,0.07041565
1266.1,2.365999937,112.1800217,0.08503811,0.232082993,1.0,0.7500715,0.09777082,0.06711955,0.0,0.0,0.08503811
1266.2,2.322000027,112.8827854,0.06109431,0.061700001,1.0,0.7763982,0.1625075,0.0,0.0,0.0,0.06109431
1266.3,2.223999977,113.58672,0.1325285,3.212291956,1.0,0.6114447,0.2557792,0.000247606,0.0,0.0,0.1325285
1266.4,2.255000114,114.1701198,0.1185649,1.483464003,1.0,0.7371135,0.1443215,0.0,0.0,0.0,0.1185649
1266.5,2.286999941,114.4989082,0.09625909,0.431796014,1.0,0.8601612,0.04357971,0.0,0.0,0.0,0.09625909
1266.6,2.302000046,114.4571942,0.07515854,0.134351999,1.0,0.8432678,0.08157367,0.0,0.0,0.0,0.07515854
1266.7,2.319999933,114.1043463,0.0572303,0.049823999,1.0,0.8722763,0.07049339,0.0,0.0,0.0,0.0572303
1266.8,2.335999966,113.3736868,0.05772386,0.051203001,1.0,0.8131583,0.1291178,0.0,0.0,0.0,0.05772386
1266.9,2.348999977,112.3027155,0.07492342,0.132615,1.0,0.7449841,0.1800924,0.0,0.0,0.0,0.07492342
1267.0,2.326999903,111.0621702,0.1067552,0.771780014,1.0,0.6692055,0.2240394,0.0,0.0,0.0,0.1067552
1267.1,2.309000015,109.739829,0.1052583,0.710434973,1.0,0.6907542,0.2039875,0.0,0.0,0.0,0.1052583
1267.2,2.302000046,108.4993452,0.09252064,0.351112008,1.0,0.6826441,0.1867554,0.03807994,0.0,0.0,0.09252064
1267.3,2.321000099,107.4330568,0.08008426,0.176442996,1.0,0.7086634,0.1096799,0.1015725,0.0,0.0,0.08008426
