DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
1623.7,2.37,97.768,0.127413035,0,0,0.513044925,0,0,0,0,0
1623.8,2.372827729,98.21517056,0.128644072,0,0,0.518944605,0,0,0,0,0
1623.9,2.378747111,98.76286339,0.129985628,0,0,0.533285501,0,0,0,0,0
1624,2.379026994,99.13861444,0.127270347,0,0,0.558907409,0,0,0,0,0
1624.1,2.384306579,99.09459646,0.121432875,0,0,0.58368243,0,0,0,0,0
1624.2,2.396112985,98.415496,0.111975468,0,0,0.606471933,0,0,0,0,0
1624.3,2.403677673,97.14493376,0.105639662,0,0,0.614128094,0,0,0,0,0
1624.4,2.408544214,96.11820968,0.101794575,0,0,0.617746635,0,0,0,0,0
1624.5,2.40948598,95.71188,0.101495681,0,0,0.616630584,0,0,0,0,0
1624.6,2.399815667,96.08052275,0.106634451,0,0,0.595213932,0,0,0,0,0
1624.7,2.386869993,97.09004,0.112484357,0,0,0.577446459,0,0,0,0,0
1624.8,2.37234637,97.07384069,0.117632373,0,0,0.572779758,0,0,0,0,0
1624.9,2.381747182,95.24654774,0.11353529,0,0,0.593495318,0,0,0,0,0
1625,2.399197901,94.01014798,0.105667057,0,0,0.612782551,0,0,0,0,0
1625.1,2.422845579,93.66344419,0.094257742,0,0,0.615230713,0,0,0,0,0
1625.2,2.451940618,92.65684419,0.083973644,0,0,0.586082736,0,0,0,0,0
1625.3,2.470945634,90.77103395,0.078910945,0,0,0.543194247,0,0,0,0,0
1625.4,2.460674072,90.00305718,0.086556139,0,0,0.491300491,0,0,0,0,0
1625.5,2.438612901,90.59084597,0.105195347,0,0,0.458830627,0,0,0,0,0
1625.6,2.405250275,94.24003484,0.127828612,0,0,0.445171307,0,0,0,0,0
1625.7,2.354162357,102.8186703,0.149122551,0,0,0.462802745,0,0,0,0,0
1625.8,2.318859038,109.7630035,0.161096562,0,0,0.467744169,0,0,0,0,0
1625.9,2.293479705,113.7738298,0.165385912,0,0,0.47503623,0,0,0,0,0
1626,2.279111157,115.455854,0.158737781,0,0,0.5073123,0,0,0,0,0
1626.1,2.279939277,115.8333706,0.153467714,0,0,0.534249785,0,0,0,0,0
1626.2,2.288748016,115.1442642,0.148246159,0,0,0.554337325,0,0,0,0,0
1626.3,2.297439718,107.8042091,0.139244168,0,0,0.561519345,0,0,0,0,0
1626.4,2.315596498,96.11472403,0.122239545,0,0,0.581651233,0,0,0,0,0
1626.5,2.346007692,87.35631608,0.099142792,0,0,0.604817826,0,0,0,0,0
1626.6,2.402564705,84.4987139,0.074578558,0,0,0.601331248,0,0,0,0,0
1626.7,2.466218365,85.55265419,0.064513753,0,0,0.56500676,0,0,0,0,0
1626.8,2.532323067,84.01761677,0.070377268,0,0,0.498955682,0,0,0,0,0
1626.9,2.576224609,83.34835032,0.099886464,0,0,0.412593219,0,0,0,0,0
1627,2.581824819,84.15929839,0.133102514,0,0,0.33406785,0,0,0,0,0
1627.1,2.546766912,87.65124493,0.167678745,0,0,0.269306563,0,0,0,0,0
1627.2,2.478171155,94.57517839,0.19461389,0,0,0.233023811,0,0,0,0,0
1627.3,2.402160136,101.8622806,0.217123687,0,0,0.199211211,0,0,0,0,0
1627.4,2.327149836,106.2120363,0.234419295,0,0,0.168653483,0,0,0,0,0
1627.5,2.277718097,107.3008598,0.247427936,0,0,0.144475221,0,0,0,0,0
1627.6,2.23994655,106.7167257,0.258848715,0,0,0.118334502,0,0,0,0,0
1627.7,2.214546457,106.745616,0.266873471,0,0,0.097985297,0,0,0,0,0
1627.8,2.197566394,106.8076264,0.268005375,0,0,0.105868864,0,0,0,0,0
1627.9,2.185008191,105.5673697,0.268715357,0,0,0.116777285,0,0,0,0,0
1628,2.177916978,103.5441998,0.269191724,0,0,0.123292172,0,0,0,0,0
1628.1,2.176387965,101.5403477,0.266577289,0,0,0.11959266,0,0,0,0,0
1628.2,2.180153717,100.1551542,0.263512574,0,0,0.106448762,0,0,0,0,0
1628.3,2.189392032,99.04243395,0.260561942,0,0,0.088512089,0,0,0,0,0
1628.4,2.198245929,98.1871733,0.257286288,0,0,0.085205217,0,0,0,0,0
1628.5,2.20507541,97.390055,0.254470719,0,0,0.088615238,0,0,0,0,0
1628.6,2.208626383,96.85402387,0.252743259,0,0,0.097294928,0,0,0,0,0
1628.7,2.210776977,97.09390355,0.251888479,0,0,0.109153976,0,0,0,0,0
1628.8,2.211009127,98.18423976,0.252027225,0,0,0.120045476,0,0,0,0,0
1628.9,2.209028782,98.93579214,0.252944826,0,0,0.127456017,0,0,0,0,0
1629,2.207023594,98.50823082,0.253029607,0,0,0.133777602,0,0,0,0,0
1629.1,2.204767721,97.71402839,0.252340576,0,0,0.139300207,0,0,0,0,0
1629.2,2.203072782,97.78509161,0.250744985,0,0,0.139400614,0,0,0,0,0
1629.3,2.204065119,98.23113161,0.248663932,0,0,0.12713012,0,0,0,0,0
1629.4,2.208205986,98.28125207,0.246447793,0,0,0.112981681,0,0,0,0,0
1629.5,2.214259039,97.81671011,0.24469745,0,0,0.103193685,0,0,0,0,0
1629.6,2.217217911,97.17524839,0.243771755,0,0,0.089217441,0,0,0,0,0
1629.7,2.21854083,96.61223806,0.242969258,0,0,0.084706587,0,0,0,0,0
1629.8,2.219607817,96.15710694,0.241954826,0,0,0.096364117,0,0,0,0,0
1629.9,2.22,96.16372242,0.24173302,0,0,0.099530481,0,0,0,0,0
1630,2.2210159,96.2447922,0.241433249,0,0,0.100995213,0,0,0,0,0
1630.1,2.223892959,96.24413376,0.240180617,0,0,0.107052495,0,0,0,0,0
1630.2,2.227424347,96.44440452,0.238658908,0,0,0.111757156,0,0,0,0,0
1630.3,2.23139248,96.94484435,0.237936357,0,0,0.115056749,0,0,0,0,0
1630.4,2.234671557,97.26915645,0.238994632,0,0,0.114875906,0,0,0,0,0
1630.5,2.236,97.60499581,0.240857739,0,0,0.107313255,0,0,0,0,0
1630.6,2.234989452,98.15182159,0.244015873,0,0,0.09867683,0,0,0,0,0
1630.7,2.232070988,98.943552,0.248500248,0,0,0.095047473,0,0,0,0,0
1630.8,2.22773446,99.76457768,0.253593956,0,0,0.089793556,0,0,0,0,0
1630.9,2.221456376,100.5205237,0.25883925,0,0,0.085031506,0,0,0,0,0
1631,2.213337918,101.2255107,0.263826481,0,0,0.082236098,0,0,0,0,0
