DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3290,2.382129569,67.15741791,0.14359776,10.78925883,1,0.217575964,0.638826276,0,0,0,0.14359776
3290.1,2.390363038,67.82734101,0.135179235,6.381391776,1,0.230551919,0.634268861,0,0,0,0.135179235
3290.2,2.412001193,68.77501439,0.120287906,2.523061624,1,0.272786469,0.606925668,0,0,0,0.120287906
3290.3,2.443582485,69.69633937,0.101274931,0.767749579,1,0.335628679,0.563096341,0,0,0,0.101274931
3290.4,2.4646018,70.51787565,0.085341296,0.239742298,1,0.399952087,0.514706632,0,0,0,0.085341296
3290.5,2.46416118,71.23313113,0.081848475,0.180672889,1,0.417153879,0.500997649,0,0,0,0.081848475
3290.6,2.448763636,71.85395982,0.092686841,0.385781862,1,0.370347902,0.536965315,0,0,0,0.092686841
3290.7,2.428654545,72.25478183,0.110615473,1.23115728,1,0.310693856,0.578690673,0,0,0,0.110615473
3290.8,2.4121,72.40373428,0.12061953,2.3583165,1,0.28226045,0.59712011,0,0,0,0.12061953
3290.9,2.402830146,72.27698325,0.123947062,2.932296969,1,0.273234459,0.602818479,0,0,0,0.123947062
3291,2.397189557,71.76692849,0.126268564,3.465718176,1,0.256683129,0.617048307,0,0,0,0.126268564
3291.1,2.391511364,71.21504756,0.132311192,5.188632836,1,0.228587934,0.639100874,0,0,0,0.132311192
3291.2,2.385801046,70.83093132,0.136672408,6.828531439,1,0.212296071,0.651031585,0,0,0,0.136672408
3291.3,2.383227605,70.77394983,0.143098186,10.61021933,1,0.182264347,0.67463749,0,0,0,0.143098186
3291.4,2.387527863,70.93969417,0.143777,10.90029003,1,0.174390021,0.681832888,0,0,0,0.143777
3291.5,2.397334545,71.00503652,0.136215856,6.615109518,1,0.212012313,0.65177183,0,0,0,0.136215856
3291.6,2.406069091,70.97696891,0.131552759,4.872058651,1,0.225857456,0.642589785,0,0,0,0.131552759
3291.7,2.411934188,70.90115467,0.128234492,3.89522324,1,0.218624485,0.653141024,0,0,0,0.128234492
3291.8,2.41311951,70.88520785,0.129032121,4.124825649,1,0.213156953,0.657810969,0,0,0,0.129032121
3291.9,2.407392727,71.03504875,0.133156761,5.447437123,1,0.198606029,0.668237195,0,0,0,0.133156761
3292,2.396165,71.42215301,0.137081763,7.022231635,1,0.193905841,0.669012296,0,0,0,0.137081763
3292.1,2.385371462,71.7703161,0.143906751,11.13156043,1,0.181229799,0.674863519,0,0,0,0.143906751
3292.2,2.381049083,71.89405151,0.147406559,13.86119636,1,0.171624367,0.680969076,0,0,0,0.147406559
3292.3,2.3826,72.19669054,0.145991588,12.6590024,1,0.169380676,0.684627724,0,0,0,0.145991588
3292.4,2.388281818,72.44132103,0.141753465,9.57660818,1,0.180040671,0.678205765,0,0,0,0.141753465
3292.5,2.392392727,72.72009704,0.138484303,7.689763495,1,0.190160385,0.671355252,0,0,0,0.138484303
3292.6,2.390380738,73.18740114,0.138790731,7.865128821,1,0.193549725,0.667659544,0,0,0,0.138790731
3292.7,2.383418066,73.65620435,0.142835184,10.32654063,1,0.183313794,0.673851088,0,0,0,0.142835184
